City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
505,Toowoomba,AU,77.74,scattered clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
506,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
508,Sibu,MY,84.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
519,Oistins,BB,75.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
527,Lufilufi,WS,87.58,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
529,Madang,PG,82.53,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
530,Tosagua,EC,78.85,scattered clouds,-0.7833,-80.25,Paseo de los ceibos la pila
531,Lakes Entrance,AU,84.58,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
533,Mumford,GH,77.76,clear sky,5.2618,-0.759,Spanish Villa
542,Mount Isa,AU,89.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
550,Vao,NC,79.54,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
560,Kroya,ID,82.13,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
563,Paciran,ID,83.61,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
572,Byron Bay,AU,76.89,broken clouds,-28.65,153.6167,Backpackers Inn
574,Lamu,KE,79.02,overcast clouds,-2.2717,40.902,Lamu House
576,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
580,Coahuayana,MX,76.48,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
582,Gunnedah,AU,82.02,clear sky,-30.9833,150.25,Gunnedah Motor Inn
595,Bagotville,AU,76.82,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
596,Kudahuvadhoo,MV,80.35,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
597,Bontang,ID,83.62,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
603,Kpandu,GH,75.29,clear sky,6.9954,0.2931,Emo House
606,Lat Yao,TH,83.52,broken clouds,15.751,99.7893,โรงแรมสอระ
611,Prieska,ZA,76.91,broken clouds,-29.6641,22.7474,Avenue GuestHouse
627,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
638,Capela,BR,80.53,clear sky,-10.5033,-37.0528,Recanto Tia Josi
640,Bhadrachalam,IN,77.14,few clouds,17.6667,80.8833,Hotel Srinidhi Residency
644,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
645,Auki,SB,86.16,overcast clouds,-8.7676,160.7034,Auki Motel
648,Banswada,IN,76.06,few clouds,18.3833,77.8833,KBR
649,Sibolga,ID,85.6,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
652,Ternate,ID,81.61,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
658,Kloulklubed,PW,77.5,moderate rain,7.0419,134.2556,Storyboard Beach Resort
