City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
678,Damghan,36.1683,54.348,264.91,47,0,2.46,clear sky,IR,2022-01-22 02:47:16
679,Mrakovo,52.7161,56.6244,257.16,96,98,1.32,overcast clouds,RU,2022-01-22 02:47:16
680,Uniao,-4.5858,-42.8642,296.34,96,93,1.56,overcast clouds,BR,2022-01-22 02:44:10
681,Roald,62.5833,6.1333,280.56,93,100,8.75,light intensity drizzle,NO,2022-01-22 02:47:16
682,Thibodaux,29.7958,-90.8229,277.58,65,100,3.13,overcast clouds,US,2022-01-22 02:47:17
683,Palauig,15.435,119.9045,302.58,59,44,0.85,scattered clouds,PH,2022-01-22 02:47:17
684,Bichura,50.5881,107.6022,260.79,91,100,0.64,overcast clouds,RU,2022-01-22 02:47:17
685,Pirapo,-26.85,-55.5333,300.37,50,0,1.84,clear sky,PY,2022-01-22 02:47:18
686,Nagpur,21.15,79.1,288.16,100,0,0.0,mist,IN,2022-01-22 02:41:10
687,Feldbach,46.9531,15.8883,273.69,61,39,2.29,scattered clouds,AT,2022-01-22 02:48:18
